iso,cou,lat,lon
LVA,Latvia,57,25
MAC,Macao,22.1667,113.55
MCO,Monaco,43.7333,7.4
MDA,Moldova. Republic of,47.0243832,28.8247294
MDG,Madagascar,-20,47
MDV,Maldives,3.25,73
MEX,Mexico,23,-102
MHL,Marshall Islands,9,168
MKD,Macedonia. the former Yugoslav Republic of,41.608635,21.745275
MLI,Mali,17,-4
MLT,Malta,35.8333,14.5833
MMR,Myanmar,22,98
MNE,Montenegro,42.708678,19.37439
MNG,Mongolia,46,105
MOZ,Mozambique,-18.25,35
MRT,Mauritania,20,-12
MUS,Mauritius,-20.2833,57.55
MWI,Malawi,-13.5,34
MYS,Malaysia,2.5,112.5
MYT,Mayotte,-12.8333,45.1667
NAM,Namibia,-22,17
NER,Niger,16,8
NGA,Nigeria,10,8
NIC,Nicaragua,13,-85
NIU,Niue,-19.0333,-169.8667
NLD,Netherlands,52.5,5.75
NOR,Norway,62,10
NPL,Nepal,28,84
NZL,New Zealand,-41,174
OMN,Oman,21,57
PAK,Pakistan,30,70
PAN,Panama,9,-80
PER,Peru,-10,-76
PHL,Philippines,13,122
PLW,Palau,7.5,134.5
PNG,Papua New Guinea,-6,147
POL,Poland,52,20
PRI,Puerto Rico,18.25,-66.5
PRK,Korea. Democratic People's Republic of,40,127
PRT,Portugal,39.5,-8
PRY,Paraguay,-23,-58
PSE,Palestinian Territory. Occupied,31.9465703,35.3027226
QAT,Qatar,25.5,51.25
ROU,Romania,46,25
RUS,Russian Federation,60,100
RWA,Rwanda,-2,30
SAU,Saudi Arabia,25,45
SDN,Sudan,15,30
SEN,Senegal,14,-14
SGP,Singapore,1.3667,103.8
SHN,Saint Helena. Ascension and Tristan da Cunha,-15.9333,-5.7
SLE,Sierra Leone,8.5,-11.5
SLV,El Salvador,13.8333,-88.9167
SMR,San Marino,43.7667,12.4167
SOM,Somalia,10,49
SRB,Serbia,44.016521,21.005859
SUR,Suriname,4,-56
SVK,Slovakia,48.6667,19.5
SVN,Slovenia,46,15
SWE,Sweden,62,15
SWZ,Swaziland,-26.5,31.5
SYR,Syrian Arab Republic,35,38
TCD,Chad,15,19
TGO,Togo,8,1.1667
THA,Thailand,15,100
TJK,Tajikistan,39,71
TON,Tonga,-20,-175
TTO,Trinidad and Tobago,11,-61
TUN,Tunisia,34,9
TUR,Turkey,39,35
TUV,Tuvalu,-8,178
TWN,Taiwan. Province of China,23.5,121
TZA,Tanzania. United Republic of,-6,35
UGA,Uganda,1,32
UKR,Ukraine,49,32
URY,Uruguay,-33,-56
USA,United States,38,-97
UZB,Uzbekistan,41,64
VCT,Saint Vincent and the Grenadines,13.25,-61.2
VEN,Venezuela. Bolivarian Republic of,8,-66
VGB,Virgin Islands. British,18.3333,-64.8333
VIR,Virgin Islands. U.S.,18.335765,-64.896335
VNM,Viet Nam,16,106
VUT,Vanuatu,-16,167
WLF,Wallis and Futuna,-13.3,-176.2
YEM,Yemen,15,48
ZAF,South Africa,-29,24
ZMB,Zambia,-15,30
ZWE,Zimbabwe,-19.015438,29.154857
Total,Total,-60,0.000001
ERI,Érythrée,15.780111,38.453457
EU,European Union,48.803789,8.027062
For,Îles Féroé,62.171358,-6.956759
GNB,Guinée-Bissau,11.868049,-15.622000
Hon,Total,84.634954, 0.1
LCA,Saint Lucia,13.877490,-60.959225
LSO,Lesotho,-29.343821, 28.465874
MSR,Montserrat,16.765826,-62.185136
NRU,Nauru,-0.530045,166.935869
SM2,San Marino,43.940137,12.456315
SYC,Republic of Seychelles,-4.666691,55.474195
TKM,Türkmenistan,38.086522,58.514833
